,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Sparsity
4,Ridge,1.3447,0.3447,0.0554,0.259,0.4173,1.0154,0.738,0.5
5,ElasticNet,1.3309,0.3309,0.0564,0.2573,0.4072,1.0085,0.754,0.5
6,FusedLasso,1.2888,0.2888,0.0588,0.2512,0.377,0.9847,0.8,0.5
7,RF,1.3822,0.3822,0.0531,0.2653,0.4461,1.0398,0.716,0.5
8,ExtraTrees,1.3942,0.3942,0.0539,0.2656,0.4574,1.0412,0.706,0.5
9,HonestForest,1.6605,0.6605,0.0615,0.3425,0.7055,1.3427,0.526,0.5
10,GB,1.2899,0.2899,0.0618,0.2549,0.3817,0.9992,0.792,0.5
11,CatBoost,1.2893,0.2893,0.0615,0.2542,0.3809,0.9967,0.792,0.5
12,XGBoost,1.2924,0.2924,0.0602,0.2523,0.3815,0.989,0.782,0.5
13,KRR_RBF,1.3545,0.3545,0.0551,0.2563,0.425,1.0045,0.716,0.5
14,SVR_RBF,1.319,0.319,0.059,0.2572,0.4008,1.0083,0.766,0.5
15,NeuralNet,1.3094,0.3094,0.0612,0.2624,0.3961,1.0288,0.788,0.5
0,OLS_sklearn,1.4011,0.4011,0.0795,0.2711,0.4901,1.0626,0.658,0.6
1,OLS_Strict,1.4943,0.4943,0.0736,0.2584,0.5637,1.0131,0.504,0.6
2,OLS_Safe,1.4943,0.4943,0.0736,0.2584,0.5637,1.0131,0.504,0.6
3,Lasso,1.4247,0.4247,0.0801,0.273,0.5102,1.0701,0.63,0.6
4,Ridge,1.4291,0.4291,0.0775,0.2729,0.5114,1.0697,0.63,0.6
5,ElasticNet,1.4171,0.4171,0.08,0.2723,0.5038,1.0673,0.636,0.6
6,FusedLasso,1.4155,0.4155,0.0792,0.2717,0.5017,1.0652,0.644,0.6
7,RF,1.5465,0.5465,0.0763,0.288,0.6122,1.1289,0.51,0.6
8,ExtraTrees,1.5459,0.5459,0.0755,0.2882,0.6111,1.1297,0.516,0.6
9,HonestForest,1.9114,0.9114,0.0899,0.3703,0.9593,1.4517,0.268,0.6
10,GB,1.4042,0.4042,0.0832,0.2749,0.4964,1.0777,0.66,0.6
11,CatBoost,1.4153,0.4153,0.0813,0.2747,0.5036,1.0768,0.652,0.6
12,XGBoost,1.409,0.409,0.0811,0.273,0.4982,1.07,0.65,0.6
