iter	RMSE
125	0.8358524871
126	0.827153759
127	0.8231379377
128	0.8197682347
129	0.8159369365
130	0.8123403607
131	0.804163552
132	0.800577393
133	0.797428998
134	0.7943388062
135	0.7915098131
136	0.7882679637
137	0.7851164286
138	0.7820525945
139	0.779318335
140	0.7768046487
141	0.7739437234
142	0.7711631069
143	0.7688215447
144	0.7663901959
145	0.7598144528
146	0.7574802201
147	0.7553727448
148	0.7506885753
149	0.7447878294
150	0.742991646
151	0.7411152859
152	0.739306186
153	0.7375135648
154	0.7333088202
155	0.7280447021
156	0.7263959161
157	0.7247719944
158	0.7209858722
159	0.7173999946
160	0.7127830797
161	0.7113139929
162	0.7069994498
163	0.7055967115
164	0.7043026723
165	0.7029621929
166	0.7016543182
167	0.6985997409
168	0.6948121253
169	0.6935980922
170	0.6924136979
171	0.6896657381
172	0.6862473003
173	0.6851394441
174	0.6840588022
175	0.6830077565
176	0.6805481113
177	0.6775263475
178	0.6765530931
179	0.6756007866
180	0.6733912536
181	0.6712962923
182	0.6686425499
183	0.6677856518
184	0.6669446482
185	0.6661196399
186	0.6637228321
187	0.6629442222
188	0.6621804968
189	0.6604132385
190	0.6596874359
191	0.6580281319
192	0.6559532785
193	0.655282386
194	0.6546260367
195	0.6531385895
196	0.6512967698
197	0.6506901511
198	0.6500968815
199	0.6487597658
200	0.6474887669
201	0.6458813997
202	0.6453472884
203	0.6448263157
204	0.644316545
205	0.6431890036
206	0.6417823833
207	0.6413117669
208	0.6408513017
209	0.6404022056
210	0.6394021534
211	0.6381573588
212	0.6377411268
213	0.6373352234
214	0.636433689
215	0.6360464084
216	0.6352004866
217	0.6341334001
218	0.6337761507
219	0.6334266199
220	0.633085768
221	0.6323351049
222	0.6313926594
223	0.6310771563
224	0.6307694849
225	0.630093221
226	0.6297993687
227	0.6291646913
228	0.6283588332
229	0.628087577
230	0.6278221668
231	0.6275633288
232	0.6269981867
233	0.6262931621
234	0.6260536532
235	0.6258198928
236	0.6255913892
237	0.6250884355
238	0.624610184
239	0.6240086885
240	0.6238022049
241	0.6236008452
242	0.6234044802
243	0.6229787091
244	0.6224474951
245	0.6222655724
246	0.6220881812
247	0.6219146817
248	0.6215358099
249	0.6210686258
250	0.620908417
251	0.6207517403
252	0.6205759094
253	0.6202403887
254	0.6198315831
255	0.6196899531
256	0.6195514401
257	0.6193969562
258	0.6190998037
259	0.6187401427
260	0.6186149097
261	0.6184924272
262	0.6183567198
263	0.6180935412
264	0.6177772836
265	0.6176665191
266	0.6175581813
267	0.6174389812
268	0.6172058673
269	0.6169843746
270	0.6167144919
271	0.616461762
272	0.6163688992
273	0.6162784012
274	0.6161898071
275	0.616093348
276	0.6159051473
277	0.6156853878
278	0.6156048808
279	0.6155262593
280	0.6154409772
281	0.6152739179
282	0.6150817641
283	0.6150102872
284	0.6148323093
285	0.6147645297
286	0.6146980697
287	0.6146260584
288	0.6144837578
289	0.6143266738
290	0.6142662472
291	0.6142013892
292	0.6140739879
293	0.6139340017
294	0.6138789481
295	0.6138251277
296	0.6137676273
297	0.6136545933
298	0.6135313276
299	0.6134822047
300	0.613430189
301	0.6133795188
302	0.6132792415
303	0.6131708226
304	0.6131267498
305	0.6130836658
306	0.6129931064
307	0.6128963491
308	0.6128562595
309	0.6128170685
310	0.6127760045
311	0.6126953313
312	0.6126585076
313	0.6126008872
314	0.612518667
315	0.6124840771
316	0.6124502231
317	0.6124150375
318	0.6123464702
319	0.6122744095
320	0.6122434932
321	0.6122131833
322	0.6121835407
323	0.612121988
324	0.6120582494
325	0.6120307086
326	0.6120037698
327	0.6119773553
328	0.6119496667
329	0.6118955846
330	0.6118402727
331	0.6118161187
332	0.6117924779
333	0.6117693053
334	0.6117206876
335	0.6116716718
336	0.6116501671
337	0.6116291112
338	0.6116069118
339	0.6115636806
340	0.6115438777
341	0.6115032123
342	0.6114616501
343	0.6114432177
344	0.6114251429
345	0.6114061965
346	0.6113698061
347	0.611352815
348	0.6113185365
349	0.611282844
350	0.6112670014
351	0.611251482
352	0.6112352561
353	0.6112044322
354	0.6111729576
355	0.611158718
356	0.6111447643
357	0.611131077
358	0.6111167544
359	0.6110893177
360	0.6110615989
361	0.6110490449
362	0.6110367319
363	0.6110246791
364	0.610999839
365	0.6109750672
366	0.610963803
367	0.6109527833
368	0.6109412045
369	0.6109188663
370	0.610908495
371	0.6108874917
372	0.6108661568
373	0.6108564631
374	0.6108469668
375	0.610837037
376	0.6108181261
377	0.6108091841
378	0.6107903928
379	0.6107818555
380	0.6107734866
381	0.610764726
382	0.6107478709
383	0.610739998
384	0.6107241251
385	0.6107078011
386	0.6107004529
387	0.6106932464
388	0.6106857313
389	0.6106714595
390	0.610657034
391	0.6106504232
392	0.6106439397
393	0.6106375882
394	0.6106309495
395	0.6106182317
396	0.6106122505
397	0.6106002628
398	0.610587791
399	0.6105821999
400	0.6105767234
401	0.6105713574
402	0.6105657556
403	0.6105550556
404	0.6105441202
405	0.6105391926
406	0.6105343617
407	0.6105296287
408	0.6105199139
409	0.6105099839
410	0.6105055651
411	0.6105012402
412	0.6104966958
413	0.6104879559
414	0.6104838814
415	0.6104756573
416	0.6104670299
417	0.6104632226
418	0.6104594917
419	0.610455586
420	0.6104481616
421	0.6104446489
422	0.610436991
423	0.6104336321
424	0.6104303424
425	0.6104268944
426	0.6104202587
427	0.6104171614
428	0.6104109129
429	0.6104041982
430	0.6104013047
431	0.6103984692
432	0.6103955096
433	0.6103898725
434	0.6103872002
435	0.6103812891
436	0.6103787367
437	0.6103762314
438	0.6103736121
439	0.6103685902
440	0.6103662295
441	0.6103614976
442	0.6103562588
443	0.6103540517
444	0.6103518861
445	0.6103497638
446	0.6103475484
447	0.6103433249
448	0.6103387217
449	0.6103367704
450	0.6103348568
451	0.6103329815
452	0.6103310168
453	0.6103272457
454	0.6103231508
455	0.6103214251
456	0.6103197308
457	0.6103180712
458	0.6103146512
459	0.610310963
460	0.610309409
461	0.6103078859
462	0.6103062846
463	0.6103032014
464	0.6102998967
465	0.6102984943
466	0.6102971213
467	0.6102957742
468	0.6102943539
469	0.61029161
470	0.610288644
471	0.6102874042
472	0.6102861874
473	0.6102849106
474	0.6102824343
475	0.6102797896
476	0.6102786695
477	0.6102775706
478	0.6102764943
479	0.6102742547
480	0.6102718502
481	0.6102708422
482	0.6102698561
483	0.6102688168
484	0.6102668027
485	0.6102646436
486	0.6102637333
487	0.6102628432
488	0.6102619697
489	0.6102610825
490	0.6102592824
491	0.6102584558
492	0.6102565579
493	0.6102557667
494	0.6102549902
495	0.6102542012
496	0.6102525881
497	0.6102518537
498	0.6102503376
499	0.6102486721
