,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Dimensionality
3,Lasso,1.1393,0.1393,0.0582,0.226,0.2784,0.8858,0.888,0.25
4,Ridge,1.1613,0.1613,0.0558,0.2254,0.2859,0.8837,0.878,0.25
5,ElasticNet,1.1661,0.1661,0.0555,0.2256,0.2881,0.8845,0.88,0.25
6,FusedLasso,1.1622,0.1622,0.0546,0.2225,0.2843,0.8724,0.886,0.25
7,RF,1.2363,0.2363,0.0517,0.2335,0.3278,0.9152,0.838,0.25
8,ExtraTrees,1.2364,0.2364,0.0516,0.2339,0.3277,0.9168,0.832,0.25
9,HonestForest,1.5857,0.5857,0.0554,0.3211,0.6311,1.2589,0.548,0.25
10,GB,1.1291,0.1291,0.0604,0.2283,0.2773,0.8948,0.898,0.25
11,CatBoost,1.1359,0.1359,0.0595,0.228,0.279,0.8937,0.898,0.25
12,XGBoost,1.1354,0.1354,0.0588,0.2266,0.2776,0.8884,0.892,0.25
13,KRR_RBF,1.1712,0.1712,0.0551,0.2258,0.2903,0.885,0.874,0.25
14,SVR_RBF,1.2241,0.2241,0.0531,0.2314,0.3213,0.9071,0.842,0.25
15,NeuralNet,1.1687,0.1687,0.0595,0.2346,0.2964,0.9197,0.89,0.25
0,OLS_sklearn,1.1725,0.1725,0.0648,0.2355,0.3072,0.9233,0.862,0.3
1,OLS_Strict,1.2499,0.2499,0.0659,0.2309,0.3581,0.9051,0.758,0.3
2,OLS_Safe,1.2499,0.2499,0.0659,0.2309,0.3581,0.9051,0.758,0.3
3,Lasso,1.2438,0.2438,0.0602,0.2404,0.3457,0.9422,0.804,0.3
4,Ridge,1.2428,0.2428,0.0583,0.2399,0.3423,0.9404,0.818,0.3
5,ElasticNet,1.2768,0.2768,0.0564,0.2439,0.3646,0.9562,0.796,0.3
6,FusedLasso,1.1937,0.1937,0.0618,0.2339,0.3149,0.9169,0.846,0.3
7,RF,1.2778,0.2778,0.0575,0.2465,0.3669,0.9663,0.784,0.3
8,ExtraTrees,1.2723,0.2723,0.0562,0.2463,0.3609,0.9655,0.8,0.3
9,HonestForest,1.5964,0.5964,0.0591,0.3314,0.6439,1.299,0.562,0.3
10,GB,1.2219,0.2219,0.0607,0.2369,0.3314,0.9288,0.812,0.3
11,CatBoost,1.1991,0.1991,0.0635,0.2393,0.321,0.9381,0.844,0.3
12,XGBoost,1.27,0.27,0.0569,0.2443,0.3601,0.9577,0.792,0.3
13,KRR_RBF,1.2857,0.2857,0.0557,0.2453,0.3705,0.9618,0.788,0.3
14,SVR_RBF,1.2801,0.2801,0.0555,0.2457,0.3658,0.9633,0.79,0.3
15,NeuralNet,1.1963,0.1963,0.0647,0.2445,0.3211,0.9586,0.854,0.3
0,OLS_sklearn,1.2484,0.2484,0.0696,0.2374,0.3622,0.9306,0.778,0.35
1,OLS_Strict,1.3246,0.3246,0.0711,0.2331,0.4199,0.9138,0.684,0.35
2,OLS_Safe,1.3246,0.3246,0.0711,0.2331,0.4199,0.9138,0.684,0.35
3,Lasso,1.2721,0.2721,0.0686,0.2386,0.3775,0.9353,0.754,0.35
4,Ridge,1.3241,0.3241,0.0636,0.2422,0.4104,0.9493,0.71,0.35
5,ElasticNet,1.3028,0.3028,0.0652,0.2403,0.396,0.942,0.726,0.35
6,FusedLasso,1.2714,0.2714,0.0664,0.2366,0.3741,0.9275,0.766,0.35
