,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Dimensionality
0,OLS_sklearn,0.9532,-0.0468,,0.1763,0.0468,0.6911,1.0,0.1
1,OLS_Strict,0.9356,-0.0644,,0.1741,0.0644,0.6823,1.0,0.1
2,OLS_Safe,0.9356,-0.0644,,0.1741,0.0644,0.6823,1.0,0.1
3,Lasso,0.9557,-0.0443,,0.1763,0.0443,0.6912,1.0,0.1
4,Ridge,0.9539,-0.0461,,0.1761,0.0461,0.6904,1.0,0.1
5,FusedLasso,0.954,-0.046,,0.1767,0.046,0.6928,1.0,0.1
