,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Sparsity
0,OLS_sklearn,1.6439,0.6439,,0.2713,0.6439,1.0635,0.0,0.2
1,OLS_Strict,1.6296,0.6296,,0.2631,0.6296,1.0313,0.0,0.2
2,OLS_Safe,1.6296,0.6296,,0.2631,0.6296,1.0313,0.0,0.2
3,Lasso,1.6614,0.6614,,0.2724,0.6614,1.0679,0.0,0.2
4,Ridge,1.675,0.675,,0.2755,0.675,1.0801,0.0,0.2
5,FusedLasso,1.6369,0.6369,,0.2731,0.6369,1.0704,0.0,0.2
