,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Sample_Size
0,OLS_sklearn,1.1676,0.1676,,0.611,0.1676,2.3952,1.0,50
1,OLS_Strict,1.4556,0.4556,,0.6065,0.4556,2.3774,1.0,50
2,OLS_Safe,1.4556,0.4556,,0.6065,0.4556,2.3774,1.0,50
3,Lasso,1.16,0.16,,0.638,0.16,2.5011,1.0,50
4,Ridge,1.1892,0.1892,,0.6158,0.1892,2.4139,1.0,50
5,FusedLasso,1.2296,0.2296,,0.608,0.2296,2.3835,1.0,50
